Wuckert - Jast and Paucek,"Built in 1847, the pristine four-acre estate and beautiful mansion welcomes you before you reach the driveway. Whether you dine in one of the mansion’s eight dining rooms decorated in traditional Spanish décor, attend a wedding or corporate event in the pavilion, or sit out back on the patio, our cuisine and delicious drinks make for an unparalleled dining experience. For a quiet, romantic dining experience we recommend a week night reservation.The small mansion rooms fill up on the weekends, making for a more lively dining experience.",4.6,431,118,Comfort Food,romantic,fancy,creative cuisine,false
Hettinger - Walsh,"Welcome! Our restaurant was built in 1948, and has been a popular hang out spot ever since. We offer large areas of (dog friendly!) patio seating, a long list of craft beers, and staff who will love to get to know you. We can't wait for you to drop by.",2.3,1140,114,Comfort Food,good for dates,fancy,creative cuisine,false
Kemmer - Barrows and Keeling,"Look no further for the best food in town! Our 5 star chef has curated our menu based on local foods, and she is always cooking with what's in season. One of our many great reviews: 'Let us just say if you're in town and want to wow your tastebuds, go here. It is inspired and inspiring.' (Jane & Michael Stern, NPR)",2.5,943,69,Southwest,special occasion,fancy,fit for foodies,false
Hoeger and Sons,"Look no further for the best food in town! Our 5 star chef has curated our menu based on local foods, and she is always cooking with what's in season. One of our many great reviews: 'Let us just say if you're in town and want to wow your tastebuds, go here. It is inspired and inspiring.' (Jane & Michael Stern, NPR)",3.1,215,32,Liberian,scenic,local ingredients,fit for foodies,false
Schumm Group,"Welcome! Our restaurant was built in 1948, and has been a popular hang out spot ever since. We offer large areas of (dog friendly!) patio seating, a long list of craft beers, and staff who will love to get to know you. We can't wait for you to drop by.",2.2,1818,75,Comfort Food,healthy,fancy,creative cuisine,false
Hoeger and Sons,"Welcome! Our restaurant was built in 1948, and has been a popular hang out spot ever since. We offer large areas of (dog friendly!) patio seating, a long list of craft beers, and staff who will love to get to know you. We can't wait for you to drop by.",2.5,122,66,Ethiopian,healthy,local ingredients,friendly staff,false
Hauck and Sons,"Great food with an upscale twist. We have friendly staff, a diverse menu, and food that will keep you coming back for more. Open seven days a week, you can come for breakfast, lunch or dinner. We also accept reservations. Fun for the whole family!",5.0,230,46,Diner,fun,casual,tasty,false
Wuckert - Jast and Paucek,"If you’re craving a great meal, we have a variety of savory appetizers and entrees to chose from. We also boast an extensive wine list and craft beer to pair with anything you choose, and we offer delicious desserts to top off your evening. Whether you sit in our main dining room, the bar or our private dining room, this is a great place to entertain friends or family in an inviting setting. Step into our kitchen and let us share our passion for food!",4.7,1979,48,American,special occasion,fancy,fit for foodies,false
Harvey - D'Amore,"Great food with an upscale twist. We have friendly staff, a diverse menu, and food that will keep you coming back for more. Open seven days a week, you can come for breakfast, lunch or dinner. We also accept reservations. Fun for the whole family!",4.7,1839,102,Mexican,healthy,casual,friendly staff,false
Deckow - Kessler,"Look no further for the best food in town! Our 5 star chef has curated our menu based on local foods, and she is always cooking with what's in season. One of our many great reviews: 'Let us just say if you're in town and want to wow your tastebuds, go here. It is inspired and inspiring.' (Jane & Michael Stern, NPR)",4.5,252,109,Southwest,good for dates,local ingredients,creative cuisine,false
Schoen - Heller,"If you’re craving a great meal, we have a variety of savory appetizers and entrees to chose from. We also boast an extensive wine list and craft beer to pair with anything you choose, and we offer delicious desserts to top off your evening. Whether you sit in our main dining room, the bar or our private dining room, this is a great place to entertain friends or family in an inviting setting. Step into our kitchen and let us share our passion for food!",2.5,1336,82,Comfort Food,healthy,local ingredients,tasty,false
Block - Bergstrom and Keebler,"We opened in 2010 with the goal of serving a family style menu of tasty, bold flavored foods in a fun and lively setting. To enhance the experience we offer a selection of wines from around the world with a focus on small producers, a rotating list of craft beers, and a list of fun cocktails created by our bartenders.",2.1,1215,65,Comfort Food,healthy,fancy,tasty,false
Vandervort - Lockman,"Located in the heart of downtown Los Angeles, we have been rated one of the top 5 restaurants in town! Whether you have lived here your whole life, or you are just visiting for the weekend, you can't go wrong here. Open 24 hours, we accept reservations until 10pm. Come say hi!",4.6,1939,49,Diner,fun,good for business,friendly staff,false
Hyatt - Medhurst and Rippin,"Built in 1847, the pristine four-acre estate and beautiful mansion welcomes you before you reach the driveway. Whether you dine in one of the mansion’s eight dining rooms decorated in traditional Spanish décor, attend a wedding or corporate event in the pavilion, or sit out back on the patio, our cuisine and delicious drinks make for an unparalleled dining experience. For a quiet, romantic dining experience we recommend a week night reservation.The small mansion rooms fill up on the weekends, making for a more lively dining experience.",3.0,1428,74,Steakhouse,fun,casual,creative cuisine,false
Torp and Sons,"We opened in 2010 with the goal of serving a family style menu of tasty, bold flavored foods in a fun and lively setting. To enhance the experience we offer a selection of wines from around the world with a focus on small producers, a rotating list of craft beers, and a list of fun cocktails created by our bartenders.",4.0,1603,104,Liberian,fun,fancy,friendly staff,false
